"","Year","Habitat","plot_number","R_plot_ID","nb_nest","area_km2"
"534",2016,"Wetland",2,"PH2",8,0.01
"535",2016,"Wetland",3,"PH3",4,0.01
"536",2016,"Wetland",4,"PH4",0,0.01
"537",2016,"Wetland",5,"PH5",3,0.01
"538",2016,"Wetland",6,"PH6",2,0.01
"539",2016,"Wetland",7,"PH7",1,0.01
"540",2016,"Wetland",8,"PH8",0,0.01
"541",2016,"Wetland",9,"PH9",1,0.01
"542",2016,"Wetland",10,"PH10",4,0.01
"543",2016,"Wetland",11,"PH11",4,0.01
"544",2016,"Wetland",12,"PH12",7,0.01
"545",2016,"Wetland",13,"PH13",0,0.01
"546",2016,"Wetland",14,"PH14",11,0.01
"547",2016,"Mesic",1,"PM1",3,0.04
"548",2016,"Mesic",2,"PM2",7,0.04
"549",2016,"Mesic",3,"PM3",1,0.04
"550",2016,"Mesic",4,"PM4",34,0.04
